site,match_category_corrected,size_W,size_L,morphology,blank_type,filename,total_values,volume,subsample_rate,total_N,total_MDA,corrected_N,N_per_L
M8,Other plastic,50-100,50-100,film,H2O2,mekong2_feb1922_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,0,5,0.1111111111111111
M8,Polyethylenes,<50,<50,sphere/spheroid,H2O2,mekong2_feb1922_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,0,5,0.1111111111111111
M8,Polypropylene,<50,200-300,fiber/filament,H2O2,mekong2_feb1922_HVS_100um_derivative_beta_T0.7_results.csv,2,45,0.2,10,0,10,0.2222222222222222
M8,Polypropylene,<50,<50,fiber/filament,H2O2,mekong2_feb1922_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,0,5,0.1111111111111111
M9,Polycarbonates,,100-200,fiber/filament,H2O2,mekong3_feb1922_HVS_100um_1_derivative_beta_T0.7_results.csv,4,35,0.2,20,6.591166666666667,13.408833333333334,0.38310952380952384
M9,Polycarbonates,,200-300,fiber/filament,H2O2,mekong3_feb1922_HVS_100um_1_derivative_beta_T0.7_results.csv,3,35,0.2,15,6.591166666666667,8.408833333333334,0.24025238095238097
M9,Polycarbonates,,50-100,fiber/filament,H2O2,mekong3_feb1922_HVS_100um_1_derivative_beta_T0.7_results.csv,3,35,0.2,15,6.591166666666667,8.408833333333334,0.24025238095238097
M9,Polycarbonates,50-100,100-200,fiber/filament,H2O2,mekong3_feb1922_HVS_100um_1_derivative_beta_T0.7_results.csv,2,35,0.2,10,6.591166666666667,3.408833333333333,0.09739523809523809
M9,Polycarbonates,<50,100-200,fiber/filament,H2O2,mekong3_feb1922_HVS_100um_1_derivative_beta_T0.7_results.csv,2,35,0.2,10,6.591166666666667,3.408833333333333,0.09739523809523809
M9,Polycarbonates,<50,50-100,fiber/filament,H2O2,mekong3_feb1922_HVS_100um_1_derivative_beta_T0.7_results.csv,2,35,0.2,10,6.591166666666667,3.408833333333333,0.09739523809523809
M9,Polyethylenes,,100-200,fiber/filament,H2O2,mekong3_feb1922_HVS_100um_1_derivative_beta_T0.7_results.csv,2,35,0.2,10,3.3333333333333335,6.666666666666666,0.19047619047619047
M9,Polypropylene,,200-300,fiber/filament,H2O2,mekong3_feb1922_HVS_100um_1_derivative_beta_T0.7_results.csv,1,35,0.2,5,0,5,0.14285714285714285
M9,Polypropylene,100-200,100-200,film,H2O2,mekong3_feb1922_HVS_100um_1_derivative_beta_T0.7_results.csv,2,35,0.2,10,0,10,0.2857142857142857
M9,Polypropylene,50-100,100-200,fragment,H2O2,mekong3_feb1922_HVS_100um_1_derivative_beta_T0.7_results.csv,2,35,0.2,10,6.111110282222029,3.888889717777971,0.11111113479365632
